municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
itatiba do sul;4310702;0;0;0;2;1;0;0;0;3;2;0;1;0;0;0
ivora;4310751;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
ivoti;4310801;0;0;0;6;0;2;1;0;17;0;5;0;0;0;0
jaboticaba;4310850;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
jacuizinho;4310876;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
jacutinga;4310900;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0
jaguarao;4311007;0;0;0;39;3;0;0;0;6;1;4;5;0;0;0
jaguari;4311106;0;0;0;11;2;0;0;0;3;0;4;2;0;0;0
jaquirana;4311122;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0
jari;4311130;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
joia;4311155;0;0;0;4;1;0;0;0;2;2;1;1;0;0;0
julio de castilhos;4311205;0;0;0;16;3;0;1;0;10;2;7;1;0;0;0
lagoa bonita do sul;4311239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lagoa dos tres cantos;4311270;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
lagoa vermelha;4311304;0;0;0;34;6;1;3;0;16;6;10;3;0;0;0
lagoao;4311254;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
lajeado;4311403;1;1;0;93;1;4;7;2;83;3;14;17;0;0;1
lajeado do bugre;4311429;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
lavras do sul;4311502;0;0;0;4;1;0;1;0;2;0;0;0;0;0;0
liberato salzano;4311601;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
lindolfo collor;4311627;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0
linha nova;4311643;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
macambara;4311718;0;0;0;2;1;0;0;0;4;1;0;0;0;0;0
machadinho;4311700;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0
mampituba;4311734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
manoel viana;4311759;0;0;0;5;3;0;0;0;3;1;0;0;0;0;0
maquine;4311775;0;0;0;1;0;1;0;0;5;0;0;0;0;0;0
marata;4311791;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
marau;4311809;0;0;0;28;1;1;3;0;46;3;9;5;0;0;0
marcelino ramos;4311908;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
mariana pimentel;4311981;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0
mariano moro;4312005;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
marques de souza;4312054;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
mata;4312104;0;0;0;5;2;0;0;0;3;0;1;0;0;0;0
mato castelhano;4312138;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
mato leitao;4312153;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
mato queimado;4312179;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
maximiliano de almeida;4312203;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
minas do leao;4312252;0;0;0;5;4;0;1;0;3;1;2;0;0;0;0
miraguai;4312302;0;0;0;6;2;0;1;0;0;1;0;0;0;0;0
montauri;4312351;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
monte alegre dos campos;4312377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
monte belo do sul;4312385;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
montenegro;4312401;0;0;0;71;1;6;3;0;49;0;29;11;0;0;0
mormaco;4312427;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
morrinhos do sul;4312443;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
morro redondo;4312450;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
morro reuter;4312476;0;0;0;1;0;0;1;0;7;0;3;0;0;0;0
mostardas;4312500;0;0;0;8;1;0;0;0;9;0;3;2;0;0;0
mucum;4312609;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0
muitos capoes;4312617;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
muliterno;4312625;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
nao-me-toque;4312658;1;1;0;10;0;0;0;0;10;1;4;6;0;0;1
nicolau vergueiro;4312674;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
nonoai;4312708;0;0;0;5;0;0;0;0;10;3;2;1;0;0;1
nova alvorada;4312757;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
nova araca;4312807;0;0;0;1;0;0;1;0;4;0;2;2;0;0;0
nova bassano;4312906;0;0;0;3;0;0;1;0;2;0;0;2;0;0;0
nova boa vista;4312955;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
nova brescia;4313003;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
nova candelaria;4313011;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
nova esperanca do sul;4313037;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
nova hartz;4313060;0;0;0;5;0;1;2;0;17;0;3;0;0;0;0
nova padua;4313086;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
nova palma;4313102;0;0;0;2;0;0;0;0;4;1;0;1;0;0;0
nova petropolis;4313201;0;0;0;6;0;1;1;0;13;0;5;1;0;0;0
nova prata;4313300;1;1;0;16;0;2;0;0;15;1;2;3;0;0;2
nova ramada;4313334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nova roma do sul;4313359;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0
nova santa rita;4313375;0;0;0;22;1;2;3;0;23;3;2;1;0;0;0
novo barreiro;4313490;0;0;0;4;1;2;1;0;0;0;0;0;0;0;0
novo cabrais;4313391;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
novo hamburgo;4313409;5;6;1;272;2;22;60;6;175;7;28;22;1;0;7
novo machado;4313425;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
novo tiradentes;4313441;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
novo xingu;4313466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
osorio;4313508;1;2;0;32;4;2;6;0;48;3;3;16;0;0;2
paim filho;4313607;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
palmares do sul;4313656;0;0;0;13;1;0;0;0;6;1;0;0;0;0;0
palmeira das missoes;4313706;1;1;0;28;1;4;1;0;7;8;5;3;0;0;2
palmitinho;4313805;0;0;0;2;1;0;1;0;3;0;4;0;0;0;1
panambi;4313904;0;0;0;19;0;0;1;0;19;1;8;2;0;0;0
pantano grande;4313953;0;0;0;11;0;0;0;0;7;0;0;0;0;0;0
parai;4314001;0;0;0;3;0;0;0;0;6;1;1;1;0;0;0
paraiso do sul;4314027;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
pareci novo;4314035;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0
parobe;4314050;0;0;0;30;0;7;7;2;29;4;19;3;0;0;1
passa sete;4314068;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
passo do sobrado;4314076;0;0;0;6;2;1;1;0;1;0;2;0;0;0;0
passo fundo;4314100;4;4;0;226;1;39;27;9;191;6;33;25;0;0;4
paulo bento;4314134;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
paverama;4314159;1;1;0;3;0;0;1;0;0;0;1;1;0;0;1
pedras altas;4314175;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0
pedro osorio;4314209;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0
pejucara;4314308;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0
pelotas;4314407;2;2;0;275;6;12;104;5;126;10;15;43;0;0;3
picada cafe;4314423;0;0;0;3;0;0;0;0;3;0;1;0;0;0;1
pinhal;4314456;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
pinhal da serra;4314464;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
pinhal grande;4314472;0;0;0;2;0;1;0;0;3;0;0;0;0;0;0
pinheirinho do vale;4314498;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0
pinheiro machado;4314506;0;0;0;16;3;0;0;0;6;0;0;0;0;0;0
pinto bandeira;4314548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pirapo;4314555;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
piratini;4314605;0;0;0;16;2;0;0;0;6;1;1;2;0;0;0
planalto;4314704;0;0;0;6;0;1;1;0;2;1;1;0;0;0;0
poco das antas;4314753;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
pontao;4314779;0;0;0;4;1;0;0;0;3;0;0;0;0;0;0
ponte preta;4314787;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
portao;4314803;1;1;0;40;1;2;3;1;42;1;4;1;0;0;2
porto alegre;4314902;16;17;1;2619;2;169;1284;123;1300;59;153;286;1;0;20
porto lucena;4315008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
porto maua;4315057;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
porto vera cruz;4315073;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
porto xavier;4315107;0;0;0;5;0;0;0;0;2;1;0;0;0;0;0
pouso novo;4315131;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
presidente lucena;4315149;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
progresso;4315156;0;0;0;2;1;0;0;0;2;3;0;0;0;0;0
protasio alves;4315172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
putinga;4315206;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
quarai;4315305;0;0;0;20;3;0;2;0;16;0;8;2;0;0;0
quatro irmaos;4315313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
quevedos;4315321;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
quinze de novembro;4315354;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
redentora;4315404;1;1;0;4;1;0;0;0;2;1;0;0;0;0;1
relvado;4315453;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
